date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:59:57	34117/34117	---M-Z	200	added ('OK')	text/html	etag:%228545-654344ec-d727748d5b95277a;gz%22	https://html.ditsolution.net/royella/index-2.html	C:/Users/Arya/Desktop/crown/html.ditsolution.net/royella/index-2.html	(from https://html.ditsolution.net/royella/index.html)
10:59:58	53606/53606	---M-Z	200	added ('OK')	text/html	etag:%22d166-654344ec-24bbae7b619dae74;gz%22	https://html.ditsolution.net/royella/index-3.html	C:/Users/Arya/Desktop/crown/html.ditsolution.net/royella/index-3.html	(from https://html.ditsolution.net/royella/index.html)
10:59:58	31845/31845	---M-Z	200	added ('OK')	text/html	etag:%227c65-654344ec-c486ea931fb08bd4;gz%22	https://html.ditsolution.net/royella/index-4.html	C:/Users/Arya/Desktop/crown/html.ditsolution.net/royella/index-4.html	(from https://html.ditsolution.net/royella/index.html)
10:59:58	39713/39713	---M-Z	200	added ('OK')	text/html	etag:%229b21-654344ec-99ddf863e322cdcd;gz%22	https://html.ditsolution.net/royella/index-5.html	C:/Users/Arya/Desktop/crown/html.ditsolution.net/royella/index-5.html	(from https://html.ditsolution.net/royella/index.html)
10:59:58	41606/41606	---M-Z	200	added ('OK')	text/html	etag:%22a286-654344ec-1abea476238b2b5;gz%22	https://html.ditsolution.net/royella/index-6.html	C:/Users/Arya/Desktop/crown/html.ditsolution.net/royella/index-6.html	(from https://html.ditsolution.net/royella/index.html)
10:59:58	46203/46203	---M-Z	200	added ('OK')	text/html	etag:%22b47b-654344ed-4cd522e71017fe1f;gz%22	https://html.ditsolution.net/royella/landing.html	C:/Users/Arya/Desktop/crown/html.ditsolution.net/royella/landing.html	(from https://html.ditsolution.net/royella/index.html)
10:59:59	29785/29785	---M-Z	200	added ('OK')	text/html	etag:%227459-654344ec-f68511c46bc1c09d;gz%22	https://html.ditsolution.net/royella/landing-2.html	C:/Users/Arya/Desktop/crown/html.ditsolution.net/royella/landing-2.html	(from https://html.ditsolution.net/royella/index.html)
10:59:59	49573/49573	---M-Z	200	added ('OK')	text/html	etag:%22c1a5-654344ec-f0ac71e4975db991;gz%22	https://html.ditsolution.net/royella/landing-3.html	C:/Users/Arya/Desktop/crown/html.ditsolution.net/royella/landing-3.html	(from https://html.ditsolution.net/royella/index.html)
10:59:59	30657/30657	---M-Z	200	added ('OK')	text/html	etag:%2277c1-654344ec-e17b076f4cff9ade;gz%22	https://html.ditsolution.net/royella/landing-4.html	C:/Users/Arya/Desktop/crown/html.ditsolution.net/royella/landing-4.html	(from https://html.ditsolution.net/royella/index.html)
10:59:59	35712/35712	---M-Z	200	added ('OK')	text/html	etag:%228b80-654344ec-8b9d3f6035ee58a3;gz%22	https://html.ditsolution.net/royella/landing-5.html	C:/Users/Arya/Desktop/crown/html.ditsolution.net/royella/landing-5.html	(from https://html.ditsolution.net/royella/index.html)
11:00:00	40421/40421	---M-Z	200	added ('OK')	text/html	etag:%229de5-654344ed-4f990b416b33850f;gz%22	https://html.ditsolution.net/royella/landing-6.html	C:/Users/Arya/Desktop/crown/html.ditsolution.net/royella/landing-6.html	(from https://html.ditsolution.net/royella/index.html)
11:00:00	49598/49598	---M-Z	200	added ('OK')	text/html	etag:%22c1be-654344ed-ba1d4718c79ecb80;gz%22	https://html.ditsolution.net/royella/rtl.html	C:/Users/Arya/Desktop/crown/html.ditsolution.net/royella/rtl.html	(from https://html.ditsolution.net/royella/index.html)
11:00:00	34113/34113	---M-Z	200	added ('OK')	text/html	etag:%228541-654344ec-6f145d8a21097568;gz%22	https://html.ditsolution.net/royella/about.html	C:/Users/Arya/Desktop/crown/html.ditsolution.net/royella/about.html	(from https://html.ditsolution.net/royella/index.html)
11:00:00	32832/32832	---M-Z	200	added ('OK')	text/html	etag:%228040-654344ed-6f3141c21a5952d;gz%22	https://html.ditsolution.net/royella/room.html	C:/Users/Arya/Desktop/crown/html.ditsolution.net/royella/room.html	(from https://html.ditsolution.net/royella/index.html)
